!SIL 1.0	sil
<UNK> 1.0	spn
wiek	1.0	v i e k
kluczowego	1.0	k l u tS o v e g o
oczom	1.0	o tS o m
kluczowymi	1.0	k l u tS o v i2 m i
zosia	1.0	z o tsj a
depresji	1.0	d e p r e s j i
jestem	1.0	j e s t e m
wleźć	1.0	v l e zj tsj
śmiertelników	1.0	sj m i e r t e l n i k u v
strażniczko	1.0	s t r a Z n i tS k o
kolejkowe	1.0	k o l e j k o v e
krótki	1.0	k r u t k i
uratować	1.0	u r a t o v a tsj
składankę	1.0	s k w a d a n k e
pokładzie	1.0	p o k w a dzj e
najbliższej	1.0	n a j b l j Z S e j
bohater	1.0	b o h a t e r
metafizyka	1.0	m e t a f i z i2 k a
cesarz	1.0	c e s a S
radiu	1.0	r a d j u
obwałował	1.0	o b v a w o v a w
rozpoczęcie	1.0	r o z p o tS eo5 tsj e
lutyki	1.0	l u t i2 k i
uznawaniu	1.0	u z n a v a n i u
wideo	1.0	v i d e o
postawisz	1.0	p o s t a v i S
braterskiej	1.0	b r a t e r s k i e j
zdjęciu-	1.0	z d j eo5 tsj u
obnażał	1.0	o b n a Z a w
systemu	1.0	s i2 s t e m u
utworzą	1.0	u t f o Z oc5
nazwana	1.0	n a z v a n a
przedziwną	1.0	p S e dzj i v n oc5
polskiej-	1.0	p o l s k i e j e
herrenchiemsee	1.0	h e r r e n h j e m s e e
grać	1.0	g r a tsj
arystotelesie	1.0	a r i2 s t o t e l e sj e
ludzkiej	1.0	l u dz k i e j
intuicją	1.0	i n t u i c j oc5
żadnej	1.0	Z a d n e j
staraj	1.0	s t a r a j
ramion	1.0	r a m i o n
poetykę	1.0	p o e t i2 k e
ta	1.0	t a
akt	1.0	a k t
ofiary	1.0	o f i a r i2
uległo	1.0	u l e g w o
przenosili	1.0	p S e n o sj i l j
poległych	1.0	p o l e g w i2 h
krążki	1.0	k r oc5 Z k i
stulecia	1.0	s t u l e tsj a
sposób	1.0	s p o s u b
fragmenty	1.0	f r a g m e n t i2
ubierać	1.0	u b i e r a tsj
kalkulacyjnym	1.0	k a l k u l a c i2 j n i2 m
princess	1.0	p r j n c e S
skład	1.0	s k w a d
pewne	1.0	p e v n e
oceną	1.0	o c e n oc5
załogi	1.0	z a w o g i
zdarzyć	1.0	z d a Z i2 tsj
chce	1.0	h c e
rybaków	1.0	r i2 b a k u v
agresji	1.0	a g r e s j i
chwilą	1.0	h v i l oc5
przyjaciółką	1.0	p S i2 j a tsj u w k oc5
żadnego	1.0	Z a d n e g o
jego	1.0	j e g o
modlił	1.0	m o d l j w
rzut	1.0	Z u t
rok	1.0	r o k
wozów	1.0	v o z u v
liście	1.0	l j sj tsj e
poszukującym	1.0	p o S u k u j oc5 c i2 m
aktorów	1.0	a k t o r u v
kolorze	1.0	k o l o Z e
jedno	1.0	j e d n o
blisko	1.0	b l j s k o
uodparnia	1.0	u o d p a r n i a
żyła	1.0	Z i2 w a
jej	1.0	j e j
rodzić	1.0	r o dzj i tsj
przedstawia	1.0	p S e d s t a v i a
dzieciństwo	1.0	dzj e tsj i n~ s t f o
planu	1.0	p l a n u
łagodni	1.0	w a g o d n i
niższości	1.0	n i Z S o sj tsj i
klęsce	1.0	k l eo5 s c e
nieznanej	1.0	n i e z n a n e j
tradycyjnie	1.0	t r a d i2 c i2 j n i e
opiekuńczy	1.0	o p i e k u n~ tS i2
obliczeń	1.0	o b l j tS e n~
jesteś	1.0	j e s t e sj
spracowaną	1.0	s p r a c o v a n oc5
kwestię	1.0	k f e s t j e
stronicami	1.0	s t r o n i c a m i
punktu	1.0	p u n k t u
niccolo	1.0	n i c c o l o
miałam	1.0	m i a w a m
oczywiście	1.0	o tS i2 v i sj tsj e
postaci	1.0	p o s t a tsj i
wiecie	1.0	v i e tsj e
ucieka	1.0	u tsj e k a
małych	1.0	m a w i2 h
wysokości	1.0	v i2 s o k o sj tsj i
złem	1.0	z w e m
osiągnięcie	1.0	o tsj oc5 g n i eo5 tsj e
kamienice	1.0	k a m i e n i c e
pieczołowicie	1.0	p i e tS o w o v i tsj e
dziwki	1.0	dzj i v k i
dowód	1.0	d o v u d
sklepionym	1.0	s k l e p i o n i2 m
7	1.0	e
ojczyzna	1.0	o j tS i2 z n a
innego	1.0	i n n e g o
sprawiło	1.0	s p r a v i w o
działa	1.0	dzj a w a
filmie	1.0	f i l m i e
jedynki	1.0	j e d i2 n k i
zajmującą	1.0	z a j m u j oc5 c oc5
ladena	1.0	l a d e n a
podręczniki	1.0	p o d r eo5 tS n i k i
podobnym	1.0	p o d o b n i2 m
zepsutej	1.0	z e p s u t e j
przebiegać	1.0	p S e b i e g a tsj
podsuniętym	1.0	p o d s u n i eo5 t i2 m
położyć	1.0	p o w o Z i2 tsj
okazja	1.0	o k a z j a
psem	1.0	p s e m
liberalizm	1.0	l j b e r a l j z m
bbc	1.0	b b c
sasami	1.0	s a s a m i
windsurfingowej	1.0	v i n d s u r f i n g o v e j
przygodę	1.0	p S i2 g o d e
glow	1.0	g l o v
szczędzą	1.0	S tS eo5 dz oc5
manii	1.0	m a n i i
tysiące	1.0	t i2 tsj oc5 c e
ciąg	1.0	tsj oc5 g
wybrzeże	1.0	v i2 b Z e Z e
oparami	1.0	o p a r a m i
dziwnych	1.0	dzj i v n i2 h
tyrana	1.0	t i2 r a n a
matką	1.0	m a t k oc5
itza	1.0	i t z a
szansę	1.0	S a n s e
buntu	1.0	b u n t u
zastanawiam	1.0	z a s t a n a v i a m
uczucie	1.0	u tS u tsj e
głosimy	1.0	g w o sj i m i2
wsze	1.0	v S e
testów	1.0	t e s t u v
partycji	1.0	p a r t i2 c j i
leczenia	1.0	l e tS e n i a
płonących	1.0	p w o n oc5 c i2 h
rozróżnić	1.0	r o z r u Z n i tsj
niedowagę	1.0	n i e d o v a g e
archiwizacji-	1.0	a r h j v i z a c j i e
podążył	1.0	p o d oc5 Z i2 w
krążenia	1.0	k r oc5 Z e n i a
franza	1.0	f r a n z a
takiego	1.0	t a k i e g o
roku	1.0	r o k u
duchem	1.0	d u h e m
oskarżony	1.0	o s k a r Z o n i2
rouge	1.0	r o u g e
złoża	1.0	z w o Z a
przypisując	1.0	p S i2 p i s u j oc5 c
podobno	1.0	p o d o b n o
lęku	1.0	l eo5 k u
natura	1.0	n a t u r a
władca	1.0	v w a d c a
ogień	1.0	o g i e n~
istotę	1.0	i s t o t e
chatka	1.0	h a t k a
brudne	1.0	b r u d n e
przypomnieć	1.0	p S i2 p o m n i e tsj
postrzegana	1.0	p o s t S e g a n a
buki	1.0	b u k i
ławrze	1.0	w a v Z e
upływ	1.0	u p w i2 v
joni	1.0	j o n i
odmaterializował	1.0	o d m a t e r j a l j z o v a w
miarą	1.0	m i a r oc5
poznać	1.0	p o z n a tsj
wypływają	1.0	v i2 p w i2 v a j oc5
urlop	1.0	u r l o p
kompleks	1.0	k o m p l e k s
aberracją	1.0	a b e r r a c j oc5
puzon	1.0	p u z o n
przemyka	1.0	p S e m i2 k a
nimfomanki	1.0	n i m f o m a n k i
ładną	1.0	w a d n oc5
cztery	1.0	tS t e r i2
rzuciła	1.0	Z u tsj i w a
istnienie	1.0	i s t n i e n i e
dziecko	1.0	dzj e c k o
jakim	1.0	j a k i m
waragi-	1.0	v a r a g i e
kielich	1.0	k i e l j h
wszechmocy	1.0	v S e h m o c i2
kolejne	1.0	k o l e j n e
odetchnęły	1.0	o d e t h n eo5 w i2
prywatnym	1.0	p r i2 v a t n i2 m
nosisz	1.0	n o sj i S
sprząta	1.0	s p S oc5 t a
she	1.0	s h e
zegar	1.0	z e g a r
nacisku	1.0	n a tsj i s k u
ruch	1.0	r u h
kto	1.0	k t o
najgorsza	1.0	n a j g o r S a
słodkimi	1.0	s w o t k i m i
ojciec	1.0	o j tsj e c
dworu	1.0	d v o r u
miotał	1.0	m i o t a w
rozważnie	1.0	r o z v a Z n i e
proces	1.0	p r o c e s
pozwolił	1.0	p o z v o l j w
zdrowiu-	1.0	z d r o v i u
okolicach	1.0	o k o l j c a h
łukasz	1.0	w u k a S
skarby	1.0	s k a r b i2
bodaj	1.0	b o d a j
celem	1.0	c e l e m
ciała	1.0	tsj a w a
zostały	1.0	z o s t a w i2
inch)-	1.0	i n c h
domu	1.0	d o m u
nowa	1.0	n o v a
tłumaczyła	1.0	t w u m a tS i2 w a
b-52	1.0	b e p i d
niemieckiemu	1.0	n i e m i e c k i e m u
zgodziliby	1.0	z g o dzj i l j b i2
wbrew	1.0	v b r e v
rozrywek	1.0	r o z r i2 v e k
zastąpić	1.0	z a s t oc5 p i tsj
parallel	1.0	p a r a l l e l
szli	1.0	S l j
skuteczniejsza	1.0	s k u t e tS n i e j S a
sekretów	1.0	s e k r e t u v
odpoczynek	1.0	o d p o tS i2 n e k
spalić	1.0	s p a l j tsj
dociekań	1.0	d o tsj e k a n~
usa	1.0	u s a
zachwytach	1.0	z a h v i2 t a h
osobnik	1.0	o s o b n i k
znamy	1.0	z n a m i2
malowany	1.0	m a l o v a n i2
ową	1.0	o v oc5
gdzieś	1.0	g dzj e sj
przypomnienie	1.0	p S i2 p o m n i e n i e
połączyłem	1.0	p o w oc5 tS i2 w e m
bowiem	1.0	b o v i e m
kreskówki	1.0	k r e s k u v k i
czasy	1.0	tS a s i2
kwaśnica	1.0	k f a sj n i c a
przeciwnikami	1.0	p S e tsj i v n i k a m i
trzynastozgłoskowcem	1.0	t S i2 n a s t o z g w o s k o v c e m
wydają	1.0	v i2 d a j oc5
nieistnienia	1.0	n i e i s t n i e n i a
koledzy	1.0	k o l e dz i2
uważałam	1.0	u v a Z a w a m
beatrycze	1.0	b e a t r i2 tS e
przynoszą	1.0	p S i2 n o S oc5
czterech	1.0	tS t e r e h
zawierają	1.0	z a v i e r a j oc5
rozkwitająca	1.0	r o z k f i t a j oc5 c a
czole	1.0	tS o l e
studia	1.0	s t u d j a
wielkim	1.0	v i e l k i m
kostiumowych	1.0	k o s t j u m o v i2 h
dziadek	1.0	dzj i a d e k
przerwa	1.0	p S e r v a
mogłam	1.0	m o g w a m
deser	1.0	d e s e r
kidzeną	1.0	k i dz e n oc5
przezorny	1.0	p S e z o r n i2
licznych	1.0	l j tS n i2 h
pośrednictwem	1.0	p o sj r e d n i c t f e m
słodkiego	1.0	s w o t k i e g o
programy	1.0	p r o g r a m i2
wtedy	1.0	v t e d i2
powołani	1.0	p o v o w a n i
wiązania	1.0	v i oc5 z a n i a
podejrzana	1.0	p o d e j Z a n a
doradza	1.0	d o r a dz a
roznosząc	1.0	r o z n o S oc5 c
wynosi	1.0	v i2 n o sj i
działanie	1.0	dzj a w a n i e
schizofrenii	1.0	s h j z o f r e n i i
prowadzi	1.0	p r o v a dzj i
następnie	1.0	n a s t eo5 p n i e
kierując	1.0	k i e r u j oc5 c
trudnością	1.0	t r u d n o sj tsj oc5
otwartymi	1.0	o t f a r t i2 m i
dziać	1.0	dzj a tsj
aktor	1.0	a k t o r
mieście	1.0	m i e sj tsj e
wzięła	1.0	v zj eo5 w a
poprawkę	1.0	p o p r a v k e
absolutnie	1.0	a b s o l u t n i e
porozumienie	1.0	p o r o z u m i e n i e
poznawania	1.0	p o z n a v a n i a
rojowiska	1.0	r o j o v i s k a
nic	1.0	n i c
kształtuje	1.0	k S t a w t u j e
ustach	1.0	u s t a h
większy	1.0	v i eo5 k S i2
meursaulta	1.0	m e u r s a u l t a
miłość	1.0	m i w o sj tsj
katalogu	1.0	k a t a l o g u
nudą	1.0	n u d oc5
nowego	1.0	n o v e g o
myślowym	1.0	m i2 sj l o v i2 m
skoncentrować	1.0	s k o n c e n t r o v a tsj
grzeszności	1.0	g Z e S n o sj tsj i
przemyt	1.0	p S e m i2 t
bezinteresowności	1.0	b e zj i n t e r e s o v n o sj tsj i
wyjątkowo	1.0	v i2 j oc5 t k o v o
okazje	1.0	o k a z j e
olejki	1.0	o l e j k i
zaznaczamy	1.0	z a z n a tS a m i2
kręciło	1.0	k r eo5 tsj i w o
przygotuj	1.0	p S i2 g o t u j
miałyby	1.0	m i a w i2 b i2
męstwa	1.0	m eo5 s t f a
czarnym	1.0	tS a r n i2 m
śmigłowca	1.0	sj m i g w o v c a
medialnego	1.0	m e d j a l n e g o
poznaliśmy	1.0	p o z n a l j sj m i2
kultem	1.0	k u l t e m
dołączymy	1.0	d o w oc5 tS i2 m i2
nieosiągalnego	1.0	n i e o tsj oc5 g a l n e g o
rozpaczliwie	1.0	r o z p a tS l j v i e
podobnie-	1.0	p o d o b n i e e
ping	1.0	p i n g
szlachetności	1.0	S l a h e t n o sj tsj i
spełniło	1.0	s p e w n i w o
pod	1.0	p o d
spróbować	1.0	s p r u b o v a tsj
wywiadu	1.0	v i2 v i a d u
przeciwko	1.0	p S e tsj i v k o
prądem	1.0	p r oc5 d e m
świadomość	1.0	sj v i a d o m o sj tsj
bajtów	1.0	b a j t u v
cieniu	1.0	tsj e n i u
dbała	1.0	d b a w a
głównego	1.0	g w u v n e g o
środku	1.0	sj r o t k u
wierny	1.0	v i e r n i2
edenu	1.0	e d e n u
ścisłości	1.0	sj tsj i s w o sj tsj i
bolkiem	1.0	b o l k i e m
pozostanie	1.0	p o z o s t a n i e
jasno	1.0	j a s n o
zwłaszcza	1.0	z v w a S tS a
precz	1.0	p r e tS
ń	1.0	n~
pozostającym	1.0	p o z o s t a j oc5 c i2 m
doświadczył	1.0	d o sj v i a d tS i2 w
sercu	1.0	s e r c u
ambasady	1.0	a m b a s a d i2
zmysłowo	1.0	z m i2 s w o v o
zagłada	1.0	z a g w a d a
pamiętniki	1.0	p a m i eo5 t n i k i
nieraz	1.0	n i e r a z
miłości	1.0	m i w o sj tsj i
paradzie	1.0	p a r a dzj e
wypad	1.0	v i2 p a d
firma	1.0	f i r m a
przykład	1.0	p S i2 k w a d
prezentują	1.0	p r e z e n t u j oc5
1-2-3	1.0	s t e d e S i2
may	1.0	m a i2
pierwszą	1.0	p i e r v S oc5
przedmiotem	1.0	p S e d m i o t e m
codziennie	1.0	c o dzj e n n i e
idzie	1.0	i dzj e
cezary	1.0	c e z a r i2
żalu	1.0	Z a l u
poruszała	1.0	p o r u S a w a
przeklętą	1.0	p S e k l eo5 t oc5
przenikają	1.0	p S e n i k a j oc5
nieśli	1.0	n i e sj l j
wergilego	1.0	v e r g i l e g o
50	1.0	p i t
magazynu	1.0	m a g a z i2 n u
obrazie	1.0	o b r a zj e
było	1.0	b i2 w o
uwolnił	1.0	u v o l n i w
sierpnia	1.0	sj e r p n i a
gangów	1.0	g a n g u v
okrucieństwa	1.0	o k r u tsj e n~ s t f a
swojego	1.0	s v o j e g o
tabelki	1.0	t a b e l k i
oznacza	1.0	o z n a tS a
kamienny	1.0	k a m i e n n i2
przyrost	1.0	p S i2 r o s t
wysoko	1.0	v i2 s o k o
kawę	1.0	k a v e
peace	1.0	p e a c e
zbyt	1.0	z b i2 t
spełnione	1.0	s p e w n i o n e
łzy	1.0	w z i2
je	1.0	j e
lewego	1.0	l e v e g o
da	1.0	d a
wpadają	1.0	v p a d a j oc5
otwarci	1.0	o t f a r tsj i
zrozumieliśmy	1.0	z r o z u m i e l j sj m i2
ideały	1.0	i d e a w i2
zmartwychwstanie	1.0	z m a r t f i2 h v s t a n i e
watch	1.0	v a t h
wąwozy	1.0	v oc5 v o z i2
spłodzili	1.0	s p w o dzj i l j
opór	1.0	o p u r
trzy	1.0	t S i2
ku	1.0	k u
lokomocji	1.0	l o k o m o c j i
pieśń	1.0	p i e sj n~
wykorzystywany	1.0	v i2 k o Z i2 s t i2 v a n i2
roli	1.0	r o l j
czasem	1.0	tS a s e m
rozpaczy	1.0	r o z p a tS i2
postanowiło	1.0	p o s t a n o v i w o
wadze	1.0	v a dz e
udostępniają	1.0	u d o s t eo5 p n i a j oc5
kobiety	1.0	k o b i e t i2
zdjęcia	1.0	z d j eo5 tsj a
cosmo	1.0	c o s m o
mięśnie	1.0	m i eo5 sj n i e
zamku	1.0	z a m k u
misternie	1.0	m i s t e r n i e
obu	1.0	o b u
współczesnej	1.0	v s p u w tS e s n e j
1998	1.0	v i eo5 t eo5 tsj e
wszystkie	1.0	v S i2 s t k i e
znajomym	1.0	z n a j o m i2 m
obcy	1.0	o b c i2
żony	1.0	Z o n i2
pstryk	1.0	p s t r i2 k
jeśli	1.0	j e sj l j
byt	1.0	b i2 t
wręcz	1.0	v r eo5 tS
rozstawionymi	1.0	r o z s t a v i o n i2 m i
zbladł	1.0	z b l a d w
autentyczności	1.0	a u t e n t i2 tS n o sj tsj i
słuchać	1.0	s w u h a tsj
lekcja	1.0	l e k c j a
gronie	1.0	g r o n i e
czującej	1.0	tS u j oc5 c e j
króla	1.0	k r u l a
doskonalić	1.0	d o s k o n a l j tsj
cesarzowi	1.0	c e s a Z o v i
niego	1.0	n i e g o
wokół	1.0	v o k u w
ręką	1.0	r eo5 k oc5
niezwyciężonego	1.0	n i e z v i2 tsj eo5 Z o n e g o
zatrudnionemu	1.0	z a t r u d n i o n e m u
napady	1.0	n a p a d i2
każda	1.0	k a Z d a
zwiedzić	1.0	z v i e dzj i tsj
wpisane	1.0	v p i s a n e
kiedykolwiek	1.0	k i e d i2 k o l v i e k
prawda	1.0	p r a v d a
ułatwi	1.0	u w a t f i
różne	1.0	r u Z n e
odtąd	1.0	o d t oc5 d
g	1.0	g
wojownik	1.0	v o j o v n i k
przeoczy	1.0	p S e o tS i2
metodę	1.0	m e t o d e
oparcie	1.0	o p a r tsj e
mam	1.0	m a m
gel	1.0	g e l
przemieniła	1.0	p S e m i e n i w a
taką	1.0	t a k oc5
młoda	1.0	m w o d a
piątą	1.0	p i oc5 t oc5
sebastiana	1.0	s e b a s t j a n a
racjonalnie	1.0	r a c j o n a l n i e
okolicznościach	1.0	o k o l j tS n o sj tsj a h
spraw	1.0	s p r a v
shi-king	1.0	s h j k i n g
przypomina	1.0	p S i2 p o m i n a
zgadzam	1.0	z g a dz a m
kolacja	1.0	k o l a c j a
należałoby	1.0	n a l e Z a w o b i2
hohenlohe	1.0	h o h e n l o h e
dziennikarzom	1.0	dzj e n n i k a Z o m
francuzem	1.0	f r a n c u z e m
podszczuje	1.0	p o d S tS u j e
oka	1.0	o k a
litości	1.0	l j t o sj tsj i
mową	1.0	m o v oc5
rękach	1.0	r eo5 k a h
postać	1.0	p o s t a tsj
dantego	1.0	d a n t e g o
głową	1.0	g w o v oc5
końca	1.0	k o n~ c a
taka	1.0	t a k a
jedynaczką	1.0	j e d i2 n a tS k oc5
plecy	1.0	p l e c i2
rozmiarów	1.0	r o z m i a r u v
szybko	1.0	S i2 b k o
nawyki	1.0	n a v i2 k i
technikami	1.0	t e h n i k a m i
rzucić	1.0	Z u tsj i tsj
sklepie	1.0	s k l e p i e
powiedzą	1.0	p o v i e dz oc5
majów-	1.0	m a j u v
oddać	1.0	o d d a tsj
kończy	1.0	k o n~ tS i2
wróć	1.0	v r u tsj
katastroficznie	1.0	k a t a s t r o f i tS n i e
zmierzch	1.0	z m i e Z h
pojęcia	1.0	p o j eo5 tsj a
urodzony	1.0	u r o dz o n i2
się	1.0	sj i e
ukaże	1.0	u k a Z e
przedstawienie	1.0	p S e d s t a v i e n i e
ruskina	1.0	r u s k i n a
dopuszcza	1.0	d o p u S tS a
ofierze	1.0	o f i e Z e
director	1.0	d j r e c t o r
skakać	1.0	s k a k a tsj
czuły	1.0	tS u w i2
tabliczkę	1.0	t a b l j tS k e
głęboką	1.0	g w eo5 b o k oc5
dziobie	1.0	dzj o b i e
modlitwę	1.0	m o d l j t f e
p	1.0	p
pojąwszy	1.0	p o j oc5 v S i2
dreamweavera-	1.0	d r e a m v e a f e r a e
mamy	1.0	m a m i2
ryju	1.0	r i2 j u
przekroczone	1.0	p S e k r o tS o n e
wystarczająca	1.0	v i2 s t a r tS a j oc5 c a
zapewnia	1.0	z a p e v n i a
myślisz	1.0	m i2 sj l j S
skazany	1.0	s k a z a n i2
przyciągniesz	1.0	p S i2 tsj oc5 g n i e S
korzyści	1.0	k o Z i2 sj tsj i
cieni	1.0	tsj e n i
przeciętny	1.0	p S e tsj eo5 t n i2
sobą	1.0	s o b oc5
elle	1.0	e l l e
pieniędzy	1.0	p i e n i eo5 dz i2
wypączkowywanie	1.0	v i2 p oc5 tS k o v i2 v a n i e
leciały	1.0	l e tsj a w i2
duszy	1.0	d u S i2
wiejącego	1.0	v i e j oc5 c e g o
organizm	1.0	o r g a n i z m
drgające	1.0	d r g a j oc5 c e
śmieci	1.0	sj m i e tsj i
los	1.0	l o s
arcydzieł	1.0	a r c i2 dzj e w
zwłok	1.0	z v w o k
narasta	1.0	n a r a s t a
rozpoznaje	1.0	r o z p o z n a j e
stosunki	1.0	s t o s u n k i
powiedzenia	1.0	p o v i e dz e n i a
obecność	1.0	o b e c n o sj tsj
dawidowi	1.0	d a v i d o v i
50-metrowy	1.0	p i t e m e t r o v i2
uczą	1.0	u tS oc5
budzą	1.0	b u dz oc5
wpływają	1.0	v p w i2 v a j oc5
przeklęta	1.0	p S e k l eo5 t a
okazuje	1.0	o k a z u j e
ćwiczenie	1.0	tsj v i tS e n i e
nimfomania	1.0	n i m f o m a n i a
śmiertelnika	1.0	sj m i e r t e l n i k a
bezradność	1.0	b e z r a d n o sj tsj
potrzebne	1.0	p o t S e b n e
stało	1.0	s t a w o
tragedii	1.0	t r a g e d j i
kobietą	1.0	k o b i e t oc5
użyciem	1.0	u Z i2 tsj e m
wiku	1.0	v i k u
dodatku	1.0	d o d a t k u
l	1.0	l
boga	1.0	b o g a
wiedzieć	1.0	v i e dzj e tsj
grekom	1.0	g r e k o m
menda	1.0	m e n d a
wynika	1.0	v i2 n i k a
milczeć	1.0	m i l tS e tsj
góry	1.0	g u r i2
skierował	1.0	s k i e r o v a w
dwadzieścia	1.0	d v a dzj e sj tsj a
podatny	1.0	p o d a t n i2
zmiany	1.0	z m i a n i2
ostatnich	1.0	o s t a t n i h
napotkałeś	1.0	n a p o t k a w e sj
poświęca	1.0	p o sj v i eo5 c a
mięsa	1.0	m i eo5 s a
niecnym	1.0	n i e c n i2 m
rozstania	1.0	r o z s t a n i a
starej	1.0	s t a r e j
120	1.0	s t o d t
odręcznie	1.0	o d r eo5 tS n i e
odkryć	1.0	o t k r i2 tsj
matko	1.0	m a t k o
obmyty	1.0	o b m i2 t i2
pragniemy	1.0	p r a g n i e m i2
rozwiązanie	1.0	r o z v i oc5 z a n i e
układem	1.0	u k w a d e m
transclucide	1.0	t r a n s c l u tsj i d e
firmach	1.0	f i r m a h
wierzący	1.0	v i e Z oc5 c i2
tamtych	1.0	t a m t i2 h
małżeństwo	1.0	m a w Z e n~ s t f o
badaczy	1.0	b a d a tS i2
poradnik	1.0	p o r a d n i k
8	1.0	e
kraju	1.0	k r a j u
programów	1.0	p r o g r a m u v
groźne	1.0	g r o zj n e
miedzi	1.0	m i e dzj i
zwyczaju	1.0	z v i2 tS a j u
kałem	1.0	k a w e m
ludzkich	1.0	l u dz k i h
doceniony	1.0	d o c e n i o n i2
postanowił	1.0	p o s t a n o v i w
skórach	1.0	s k u r a h
pogoni	1.0	p o g o n i
arystoteles	1.0	a r i2 s t o t e l e s
książę	1.0	k tsj oc5 Z e
poznawanie	1.0	p o z n a v a n i e
bolesława	1.0	b o l e s w a v a
jasna	1.0	j a s n a
podłogi	1.0	p o d w o g i
dziadkiem	1.0	dzj a t k i e m
popędem	1.0	p o p eo5 d e m
narzędzia	1.0	n a Z eo5 dzj a
dłoni	1.0	d w o n i
lustro	1.0	l u s t r o
wodę	1.0	v o d e
naszej	1.0	n a S e j
oryginalny	1.0	o r i2 g i n a l n i2
zawodowca-	1.0	z a v o d o v c a e
policzków	1.0	p o l j tS k u v
listy	1.0	l j s t i2
bramy	1.0	b r a m i2
różnią	1.0	r u Z n i oc5
lata	1.0	l a t a
chaotyczna	1.0	h a o t i2 tS n a
szpecące	1.0	S p e c oc5 c e
oporni	1.0	o p o r n i
spotyka	1.0	s p o t i2 k a
szczęściu	1.0	S tS eo5 sj tsj u
mężczyzn	1.0	m eo5 Z tS i2 z n
pozostałe	1.0	p o z o s t a w e
drużyny	1.0	d r u Z i2 n i2
muzycznie	1.0	m u z i2 tS n i e
zbuntowaną	1.0	z b u n t o v a n oc5
zgromadzone	1.0	z g r o m a dz o n e
oczy	1.0	o tS i2
dali	1.0	d a l j
długi	1.0	d w u g i
wypuściła	1.0	v i2 p u sj tsj i w a
de	1.0	d e
cierpię	1.0	tsj e r p i e
deskę	1.0	d e s k e
byle	1.0	b i2 l e
przetrwa	1.0	p S e t r v a
pustkowia	1.0	p u s t k o v i a
zmartwychwstania	1.0	z m a r t f i2 h v s t a n i a
nawet	1.0	n a v e t
prezydenta	1.0	p r e z i2 d e n t a
stronach	1.0	s t r o n a h
donosy-	1.0	d o n o s i2
spodziewajmy	1.0	s p o dzj e v a j m i2
doskonale	1.0	d o s k o n a l e
trud	1.0	t r u d
rozległej	1.0	r o z l e g w e j
znamię	1.0	z n a m i e
dość	1.0	d o sj tsj
wyodrębnił	1.0	v i2 o d r eo5 b n i w
najmniej	1.0	n a j m n i e j
trupiego	1.0	t r u p i e g o
żalów	1.0	Z a l u v
punkty	1.0	p u n k t i2
porcie	1.0	p o r tsj e
epoki	1.0	e p o k i
pryncypialność	1.0	p r i2 n c i2 p i a l n o sj tsj
alkoholu-	1.0	a l k o h o l u
pomiędzy	1.0	p o m i eo5 dz i2
wybranego	1.0	v i2 b r a n e g o
zbawić	1.0	z b a v i tsj
sprowadzona	1.0	s p r o v a dz o n a
niebyt	1.0	n i e b i2 t
ręku	1.0	r eo5 k u
trzewikami	1.0	t S e v i k a m i
rybackie	1.0	r i2 b a c k i e
wszystkę	1.0	v S i2 s t k e
albert	1.0	a l b e r t
zachowuje	1.0	z a h o v u j e
walecznie	1.0	v a l e tS n i e
przyznam	1.0	p S i2 z n a m
dzisiejszej	1.0	dzj i sj e j S e j
kijem	1.0	k i j e m
ułomna	1.0	u w o m n a
przechwalają	1.0	p S e h v a l a j oc5
funkcje	1.0	f u n k c j e
świadomy	1.0	sj v i a d o m i2
san	1.0	s a n
książęcej	1.0	k tsj oc5 Z eo5 c e j
wizjoner	1.0	v i z j o n e r
samym	1.0	s a m i2 m
ekspansywne	1.0	e k s p a n s i2 v n e
wypełnieniem	1.0	v i2 p e w n i e n i e m
cennych	1.0	c e n n i2 h
oddziaływania	1.0	o d dzj a w i2 v a n i a
węgły	1.0	v eo5 g w i2
zmywanie	1.0	z m i2 v a n i e
zyskasz	1.0	z i2 s k a S
sprawiać	1.0	s p r a v i a tsj
trudności	1.0	t r u d n o sj tsj i
ideału	1.0	i d e a w u
spoglądam	1.0	s p o g l oc5 d a m
ulu	1.0	u l u
blizny	1.0	b l j z n i2
komputerze	1.0	k o m p u t e Z e
rozpusty	1.0	r o z p u s t i2
przysiadł	1.0	p S i2 tsj a d w
nocach	1.0	n o c a h
życie	1.0	Z i2 tsj e
chłopi-	1.0	h w o p e e
otwartym	1.0	o t f a r t i2 m
nieograniczone	1.0	n i e o g r a n i tS o n e
pozycji	1.0	p o z i2 c j i
tonacji	1.0	t o n a c j i
burzycielce	1.0	b u Z i2 tsj e l c e
gest	1.0	g e s t
dawnych	1.0	d a v n i2 h
naukowych	1.0	n a u k o v i2 h
okładki	1.0	o k w a t k i
sukcesem	1.0	s u k c e s e m
samych	1.0	s a m i2 h
określa	1.0	o k r e sj l a
polskiej	1.0	p o l s k i e j
wprawiając	1.0	v p r a v i a j oc5 c
tłumaczenie	1.0	t w u m a tS e n i e
y	1.0	i2
łączności	1.0	w oc5 tS n o sj tsj i
ulegniesz	1.0	u l e g n i e S
miłe	1.0	m i w e
znieść	1.0	z n i e sj tsj
uśmiechnął	1.0	u sj m i e h n oc5 w
